,id,title,categories,abstract,doi,created,updated,authors
0,1202.0909,a berry-esseen bound for the uniform multinomial occupancy model,math.pr math.st stat.th,"the inductive size bias coupling technique and stein's method yield a berry-esseen theorem for the number of urns having occupancy $d \ge 2$ when $n$ balls are uniformly distributed over $m$ urns. in particular, there exists a constant $c$ depending only on $d$ such that $$ \sup_{z \in \mathbb{r}}|p(w_{n,m} \le z) -p(z \le z)| \le c \left( \frac{1+(\frac{n}{m})^3}{\sigma_{n,m}} \right) \quad \mbox{for all $n \ge d$ and $m \ge 2$,} $$ where $w_{n,m}$ and $\sigma_{n,m}^2$ are the standardized count and variance, respectively, of the number of urns with $d$ balls, and $z$ is a standard normal random variable. asymptotically, the bound is optimal up to constants if $n$ and $m$ tend to infinity together in a way such that $n/m$ stays bounded.",10.1214/ejp.v18-1983,2012-02-04,2019-03-30,"['jay bartroff', 'larry goldstein']"
1,1207.0437,"ordinal and cardinal dendrograms depicting migration-based   regionalization of 3,000 + u. s. counties",physics.soc-ph cs.si stat.ap,"we have obtained a ""hierarchical regionalization"" of 3,107 county-level units of the united states based upon census-recorded 1995-2000 intercounty migration flows. the methodology employed was the two-stage (double-standardization and strong component [directed graph] hierarchical clustering) algorithm described in the 2009 pnas (106 [26], e66) letter (arxiv:0904.4863). various features (e. g., cosmopolitan vs. provincial aspects, and indices of isolation) of the regionalization have been previously discussed in arxiv:0907.2393, arxiv:0903.3623 and arxiv:0809.2768. however, due to the lengthy (38-page) nature of the associated dendrogram, the detailed tree structure itself was not readily available for inspection. here, we do present this (county-searchable) dendrogram--and invite readers to explore it, based on their particular interests/locations. an ordinal scale--rather than the originally-derived cardinal scale of the doubly-standardized values--in which groupings/features were more immediately apparent, was originally presented. now, we append the cardinal-scale dendrogram.",,2012-07-02,2019-04-05,['paul b. slater']
2,1301.2007,spectral clustering based on local pca,stat.ml,"we propose a spectral clustering method based on local principal components analysis (pca). after performing local pca in selected neighborhoods, the algorithm builds a nearest neighbor graph weighted according to a discrepancy between the principal subspaces in the neighborhoods, and then applies spectral clustering. as opposed to standard spectral methods based solely on pairwise distances between points, our algorithm is able to resolve intersections. we establish theoretical guarantees for simpler variants within a prototypical mathematical framework for multi-manifold clustering, and evaluate our algorithm on various simulated data sets.",,2013-01-09,,"['ery arias-castro', 'gilad lerman', 'teng zhang']"
3,1303.6169,co-occurring hiv risk behaviors among males entering jail,stat.ap,"this paper examines the pattern of hiv risk behaviors among male jail detainees. from multivariate analyses of baseline data from an hiv intervention study of ours, we find that: (1) cocaine use, heroin use and multiple sexual partners; and (2) heavy drinking and marijuana are often co-occurring among this population. from pairwise analyses, we find that (1) heroin and idu (2) unprotected sexes with main, with non-main, and in last sexual encounter are mostly co-occurring. idu is found to be associated with middle ages (30-40) and multiple prior incarcerations, and multiple sex partners associated young males with age <30, african american race, and low education. our findings suggest that efficient interventions to reduce hiv infection in this high-risk population may have to target on these behaviors simultaneously and be demographically adapted.",,2013-03-25,2019-04-04,"['tao liu', 'lauri bazerman', 'megan pinkston', 'amy nunn', 'aadia rana', 'curt g. beckwith']"
4,1305.7007,estimation of false discovery proportion with unknown dependence,stat.me,"large-scale multiple testing with highly correlated test statistics arises frequently in many scientific research. incorporating correlation information in estimating false discovery proportion has attracted increasing attention in recent years. when the covariance matrix of test statistics is known, fan, han & gu (2012) provided a consistent estimate of false discovery proportion (fdp) under arbitrary dependence structure. however, the covariance matrix is often unknown in many applications and such dependence information has to be estimated before estimating fdp (efron, 2010). the estimation accuracy can greatly affect the convergence result of fdp or even violate its consistency. in the current paper, we provide methodological modification and theoretical investigations for estimation of fdp with unknown covariance. first we develop requirements for estimates of eigenvalues and eigenvectors such that we can obtain a consistent estimate of fdp. secondly we give conditions on the dependence structures such that the estimate of fdp is consistent. such dependence structures include sparse covariance matrices, which have been popularly considered in the contemporary random matrix theory. when data are sampled from an approximate factor model, which encompasses most practical situations, we provide a consistent estimate of fdp via exploiting this specific dependence structure. the results are further demonstrated by simulation studies and some real data applications.",,2013-05-30,2019-03-26,"['jianqing fan', 'xu han']"
5,1401.2139,distinguishing noise from chaos: objective versus subjective criteria   using horizontal visibility graph,stat.ml cs.it math.it nlin.cd,"a recently proposed methodology called the horizontal visibility graph (hvg) [luque {\it et al.}, phys. rev. e., 80, 046103 (2009)] that constitutes a geometrical simplification of the well known visibility graph algorithm [lacasa {\it et al.\/}, proc. natl. sci. u.s.a. 105, 4972 (2008)], has been used to study the distinction between deterministic and stochastic components in time series [l. lacasa and r. toral, phys. rev. e., 82, 036120 (2010)]. specifically, the authors propose that the node degree distribution of these processes follows an exponential functional of the form $p(\kappa)\sim \exp(-\lambda~\kappa)$, in which $\kappa$ is the node degree and $\lambda$ is a positive parameter able to distinguish between deterministic (chaotic) and stochastic (uncorrelated and correlated) dynamics. in this work, we investigate the characteristics of the node degree distributions constructed by using hvg, for time series corresponding to $28$ chaotic maps and $3$ different stochastic processes. we thoroughly study the methodology proposed by lacasa and toral finding several cases for which their hypothesis is not valid. we propose a methodology that uses the hvg together with information theory quantifiers. an extensive and careful analysis of the node degree distributions obtained by applying hvg allow us to conclude that the fisher-shannon information plane is a remarkable tool able to graphically represent the different nature, deterministic or stochastic, of the systems under study.",10.1371/journal.pone.0108004,2014-01-09,,"['martín gómez ravetti', 'laura c. carpi', 'bruna amin gonçalves', 'alejandro c. frery', 'osvaldo a. rosso']"
6,1407.5232,on coverage and local radial rates of ddm-credible sets,math.st stat.th,"for a general statistical model, we introduce the notion of data dependent measure (ddm) on the model parameter. typical examples of ddm are the posterior distributions. like for posteriors, the quality of a ddm is characterized by the contraction rate which we allow to be local, i.e., depending on the parameter. we construct confidence sets as ddm-credible sets and address the issue of optimality of such sets, via a trade-off between its ""size"" (the local radial rate) and its coverage probability. in the mildly ill-posed inverse signal-in-white-noise model, we construct a ddm as empirical bayes posterior with respect to a certain prior, and define its (default) credible set. then we introduce 'excessive bias restriction' (ebr), more general than 'self-similarity' and 'polished tail condition' recently studied in the literature. under ebr, we establish the confidence optimality of our credible set with some local (oracle) radial rate. we also derive the oracle estimation inequality and the oracle ddm-contraction rate, non-asymptotically and uniformly in $\ell_2$. the obtained local results are more powerful than global: adaptive minimax results for a number of smoothness scales follow as consequence, in particular, the ones considered by szabo, van der vaart and van zanten (2015).",,2014-07-19,2015-10-20,['eduard belitser']
7,1410.6698,testing the maximal rank of the volatility process for continuous   diffusions observed with noise,math.st stat.th,"in this paper, we present a test for the maximal rank of the volatility process in continuous diffusion models observed with noise. such models are typically applied in mathematical finance, where latent price processes are corrupted by microstructure noise at ultra high frequencies. using high frequency observations we construct a test statistic for the maximal rank of the time varying stochastic volatility process. our methodology is based upon a combination of a matrix perturbation approach and pre-averaging. we will show the asymptotic mixed normality of the test statistic and obtain a consistent testing procedure.",10.3150/16-bej836,2014-10-24,,"['tobias fissler', 'mark podolskij']"
8,1503.01161,the bayesian case model: a generative approach for case-based reasoning   and prototype classification,stat.ml cs.lg,"we present the bayesian case model (bcm), a general framework for bayesian case-based reasoning (cbr) and prototype classification and clustering. bcm brings the intuitive power of cbr to a bayesian generative framework. the bcm learns prototypes, the ""quintessential"" observations that best represent clusters in a dataset, by performing joint inference on cluster labels, prototypes and important features. simultaneously, bcm pursues sparsity by learning subspaces, the sets of features that play important roles in the characterization of the prototypes. the prototype and subspace representation provides quantitative benefits in interpretability while preserving classification accuracy. human subject experiments verify statistically significant improvements to participants' understanding when using explanations produced by bcm, compared to those given by prior art.",,2015-03-03,,"['been kim', 'cynthia rudin', 'julie shah']"
9,1505.03481,relations between adjacency and modularity graph partitioning,stat.ml,"in this paper the exact linear relation between the leading eigenvector of the unnormalized modularity matrix and the eigenvectors of the adjacency matrix is developed. based on this analysis a method to approximate the leading eigenvector of the modularity matrix is given, and the relative error of the approximation is derived. a complete proof of the equivalence between normalized modularity clustering and normalized adjacency clustering is also given. some applications and experiments are given to illustrate and corroborate the points that are made in the theoretical development.",,2015-05-09,2019-03-30,"['hansi jiang', 'carl meyer']"
