,id,title,categories,abstract,doi,created,updated,authors
0,0705.1265,a noncommutative bohnenblust-spitzer identity for rota-baxter algebras   solves bogoliubov's recursion,math.co hep-th math-ph math.mp math.ra,"the bogoliubov recursion is a particular procedure appearing in the process of renormalization in perturbative quantum field theory. it provides convergent expressions for otherwise divergent integrals. we develop here a theory of functional identities for noncommutative rota-baxter algebras which is shown to encode, among others, this process in the context of connes-kreimer's hopf algebra of renormalization. our results generalize the seminal cartier-rota theory of classical spitzer-type identities for commutative rota-baxter algebras. in the classical, commutative, case, these identities can be understood as deriving from the theory of symmetric functions. here, we show that an analogous property holds for noncommutative rota-baxter algebras. that is, we show that functional identities in the noncommutative setting can be derived from the theory of noncommutative symmetric functions. lie idempotents, and particularly the dynkin idempotent play a crucial role in the process. their action on the pro-unipotent groups such as those of perturbative renormalization is described in detail along the way.",10.4171/jncg/35,2007-05-09,2008-08-19,"['kurusch ebrahimi-fard', 'dominique manchon', 'frederic patras']"
1,0706.3595,two-dimensional schroedinger operators with fast decaying potential and   multidimensional $l_2$-kernel,math-ph math.mp,using moutard transformations we show how explicit examples of two-dimensional schroedinger operators with fast decaying potential and multidimensional $l_2$-kernel may be constructed,10.1070/rm2007v062n03abeh004423,2007-06-25,,"['i. a. taimanov', 's. p. tsarev']"
2,0707.3160,random walks in random environments,math.pr math-ph math.mp,"random walks provide a simple conventional model to describe various transport processes, for example propagation of heat or diffusion of matter through a medium. however, in many practical cases the medium is highly irregular due to defects, impurities, fluctuations etc., and it is natural to model this as random environment. in the random walks context, such models are referred to as random walks in random environments (rwre). this is a relatively new chapter in applied probability and physics of disordered systems, initiated in the 1970s. early interest was motivated by some problems in biology, crystallography and metal physics, but later applications have spread through numerous areas. after 30 years of extensive work, rwre remain a very active area of research, which has already led to many surprising discoveries. the goal of this article is to give a brief introduction to the beautiful area of rwre. the principal model to be discussed is a random walk with nearest-neighbor jumps in independent identically distributed (i.i.d.) random environment in one dimension, although we shall also comment on some extensions and generalizations. the focus is on rigorous results; however, heuristics is used freely to motivate the ideas and explain the approaches and proofs. in a few cases, sketches of the proofs have been included, which should help the reader to appreciate the flavor of results and methods.",10.1016/b0-12-512666-2/00063-8,2007-07-20,,['l. v. bogachev']
3,0710.5646,on the hopf algebra of rooted trees,math-ph math.mp math.qa,"we find a formula to compute the number of the generators, which generate the $n$-filtered space of hopf algebra of rooted trees, i.e. the number of equivalent classes of rooted trees with weight $n$. applying hopf algebra of rooted trees, we show that the analogue of andruskiewitsch and schneider's conjecture is not true. the hopf algebra of rooted trees and the enveloping algebra of the lie algebra of rooted trees are two important examples of hopf algebras. we give their representation and show that they have not any nonzero integrals. we structure their graded drinfeld doubles and show that they are local quasitriangular hopf algebras.",,2007-10-30,2019-05-24,"['weicai wu', 'shouchuan zhang', 'jieqiong he', 'peng wang']"
4,0903.3220,fjrw-rings and mirror symmetry,math.ag math-ph math.mp,"we verify the landau-ginzburg mirror symmetry conjecture for arnol'd's list of unimodal and bimodal quasi-homogeneous singularities with g the maximal diagonal symmetry group, and include a discussion of eight axioms which facilitate the computation of fjrw-rings.",10.1007/s00220-009-0929-7,2009-03-18,2009-05-27,"['marc krawitz', 'nathan priddis', 'pedro acosta', 'natalie bergin', 'himal rathnakumara']"
5,0908.1152,absorbing-state phase transition for driven-dissipative stochastic   dynamics on $z$,math.pr cond-mat.stat-mech math-ph math.mp,we study the long-time behavior of conservative interacting particle systems in $z$: the activated random walk model for reaction-diffusion systems and the stochastic sandpile. we prove that both systems undergo an absorbing-state phase transition.,10.1007/s00222-011-0344-5,2009-08-10,2019-05-09,"['leonardo t. rolla', 'vladas sidoravicius']"
6,1002.0455,on the spectrum of the many-body pauli projector,math-ph math.mp nucl-th physics.atm-clus quant-ph,"spectrum of the pauli projector of a quantum many-body system is studied. it is proven that the kern of the complete many-body projector is identical to the kern of the sum of two-body projectors. since the kern of the many-body pauli projector defines an allowed subspace of the complete hilbert space, it is argued that a truncation of the many-body model space following the two-body pauli projectors is a natural way when solving the schr\""{o}dinger equation for the many-body system. these relations clarify a role of the many-body pauli forces in a multicluster system.",,2010-02-02,2019-05-07,['e. m. tursunov']
7,1006.5479,the quantum double model with boundary: condensations and symmetries,quant-ph cond-mat.str-el math-ph math.mp,"associated to every finite group, kitaev has defined the quantum double model for every orientable surface without boundary. in this paper, we define boundaries for this model and characterize condensations; that is, we find all quasi-particle excitations (anyons) which disappear when they move to the boundary. we then consider two phases of the quantum double model corresponding to two groups with a domain wall between them, and study the tunneling of anyons from one phase to the other. using this framework we discuss the necessary and sufficient conditions when two different groups give the same anyon types. as an application we show that in the quantum double model for s_3 (the permutation group over three letters) there is a chargeon and a fluxion which are not distinguishable. this group is indeed a special case of groups of the form of the semidirect product of the additive and multiplicative groups of a finite field, for all of which we prove a similar symmetry.",10.1007/s00220-011-1294-x,2010-06-28,2019-06-04,"['salman beigi', 'peter w. shor', 'daniel whalen']"
8,1110.4132,the effect of disorder on the wave propagation in one-dimensional   periodic optical systems,math-ph math.mp,"the influence of disorder on the transmission through periodic waveguides is studied. using a canonical form of the transfer matrix we investigate dependence of the lyapunov exponent $\gamma$ on the frequency $\nu$ and magnitude of the disorder $\sigma$. it is shown that in the bulk of the bands $\gamma \sim \sigma^2$, while near the band edges it has the order $\gamma \sim \sigma^{2/3}$. this dependence is illustrated by numerical simulations.",10.1080/17455030.2010.528064,2011-10-18,,"['yuri a. godin', 'stanislav molchanov', 'boris vainberg']"
9,1201.1419,the effective conductivity of a periodic lattice of circular inclusions,cond-mat.mtrl-sci math-ph math.ap math.mp physics.class-ph,we determine the effective conductivity of a two-dimensional composite consisting of a doubly periodic array of identical circular cylinders within a homogeneous matrix. we obtain an exact analytic expression for the effective conductivity tensor as well as its expansion in terms of volume fraction of the cylinders. results are illustrated by examples.,10.1063/1.4726213,2012-01-06,2012-06-07,['yuri a. godin']
10,1202.3426,asymptotic properties of ground states of scalar field equations with a   vanishing parameter,math.ap math-ph math.mp nlin.ps,"we study the leading order behaviour of positive solutions of the equation -\delta u +\varepsilon u-|u|^{p-2}u+|u|^{q-2}u=0,\qquad x\in\r^n, where $n\ge 3$, $q>p>2$ and when $\varepsilon>0$ is a small parameter. we give a complete characterization of all possible asymptotic regimes as a function of $p$, $q$ and $n$. the behavior of solutions depends sensitively on whether $p$ is less, equal or bigger than the critical sobolev exponent $p^\ast=\frac{2n}{n-2}$. for $p<p^\ast$ the solution asymptotically coincides with the solution of the equation in which the last term is absent. for $p>p^\ast$ the solution asymptotically coincides with the solution of the equation with $\varepsilon=0$. in the most delicate case $p=p^\ast$ the asymptotic behaviour of the solutions is given by a particular solution of the critical emden--fowler equation, whose choice depends on $\varepsilon$ in a nontrivial way.",10.4171/jems/455,2012-02-15,2012-03-06,"['vitaly moroz', 'cyrill b. muratov']"
11,1205.6508,"quasi-classical approximation in vortex filament dynamics. integrable   systems, gradient catastrophe and flutter",nlin.si math-ph math.mp physics.flu-dyn,quasiclassical approximation in the intrinsic description of the vortex filament dynamics is discussed. within this approximation the governing equations are given by elliptic system of quasi-linear pdes of the first order. dispersionless da rios system and dispersionless hirota equation are among them. they describe motion of vortex filament with slow varying curvature and torsion without or with axial flow. gradient catastrophe for governing equations is studied. it is shown that geometrically this catastrophe manifests as a fast oscillation of a filament curve around the rectifying plane which resembles the flutter of airfoils. analytically it is the elliptic umbilic singularity in the terminology of the catastrophe theory. it is demonstrated that its double scaling regularization is governed by the painleve' i equation.,10.1111/j.1467-9590.2012.00563.x,2012-05-29,2012-06-13,"['b. g. konopelchenko', 'g. ortenzi']"
12,1206.2212,a simple method for finite range decomposition of quadratic forms and   gaussian fields,math.pr math-ph math.ap math.mp,we present a simple method to decompose the green forms corresponding to a large class of interesting symmetric dirichlet forms into integrals over symmetric positive semi-definite and finite range (properly supported) forms that are smoother than the original green form. this result gives rise to multiscale decompositions of the associated gaussian free fields into sums of independent smoother gaussian fields with spatially localized correlations. our method makes use of the finite propagation speed of the wave equation and chebyshev polynomials. it improves several existing results and also gives simpler proofs.,10.1007/s00440-012-0471-y,2012-06-11,2019-05-09,['roland bauerschmidt']
13,1206.3941,on the curvature of einstein-hermitian surfaces,math.dg math-ph math.mp,"we give a mathematical exposition of the page metric, and introduce an efficient coordinate system for it. we carefully examine the submanifolds of the underlying smooth manifold, and show that the page metric does not have positive holomorphic bisectional curvature. we exhibit a holomorphic subsurface with flat normal bundle. we also give another proof of the fact that a compact complex surface together with an einstein-hermitian metric of positive orthogonal bisectional curvature is biholomorphically isometric to the complex projective plane with its fubini-study metric up to rescaling. this result relaxes the k\""ahler condition in berger's theorem, and the positivity condition on sectional curvature in a theorem proved by the second author.",10.1215/ijm/1552442655,2012-06-18,2019-04-08,"['mustafa kalafat', 'caner koca']"
14,1206.7078,on an isoperimetric problem with a competing non-local term. ii. the   general case,math.ap math-ph math.mp math.oc,"this paper is the continuation of [h. kn\""upfer and c. b. muratov, commun. pure appl. math. (2012, to be published)]. we investigate the classical isoperimetric problem modified by an addition of a non-local repulsive term generated by a kernel given by an inverse power of the distance. in this work, we treat the case of general space dimension. we obtain basic existence results for minimizers with sufficiently small masses. for certain ranges of the exponent in the kernel we also obtain non-existence results for sufficiently large masses, as well as a characterization of minimizers as balls for sufficiently small masses and low spatial dimensionality. the physically important special case of three space dimensions and coulombic repulsion is included in all the results mentioned above. in particular, our work yields a negative answer to the question if stable atomic nuclei at arbitrarily high atomic numbers can exist in the framework of the classical liquid drop model of nuclear matter. in all cases the minimal energy scales linearly with mass for large masses, even if the infimum of energy may not be attained.",10.1002/cpa.21479,2012-06-29,,"['hans knuepfer', 'cyrill b. muratov']"
15,1208.0373,quantitative derivation of the gross-pitaevskii equation,math-ph math.mp,"starting from first principle many-body quantum dynamics, we show that the dynamics of bose-einstein condensates can be approximated by the time-dependent nonlinear gross-pitaevskii equation, giving a bound on the rate of the convergence. initial data are constructed on the bosonic fock space applying an appropriate bogoliubov transformation on a coherent state with expected number of particles n. the bogoliubov transformation plays a crucial role; it produces the correct microscopic correlations among the particles. our analysis shows that, on the level of the one particle reduced density, the form of the initial data is preserved by the many-body evolution, up to a small error which vanishes as n^{-1/2} in the limit of large n.",10.1002/cpa.21542,2012-08-01,2012-10-30,"['niels benedikter', 'gustavo de oliveira', 'benjamin schlein']"
16,1209.2148,algebraic structure of classical field theory: kinematics and linearized   dynamics for real scalar fields,math-ph hep-th math.ap math.dg math.mp,"we describe the elements of a novel structural approach to classical field theory, inspired by recent developments in perturbative algebraic quantum field theory. this approach is local and focuses mainly on the observables over field configurations, given by certain spaces of functionals which are studied here in depth. the analysis of such functionals is characterized by a combination of geometric, analytic and algebraic elements which (1) make our approach closer to quantum field theory, (2) allow for a rigorous analytic refinement of many computational formulae from the functional formulation of classical field theory and (3) provide a new pathway towards understanding dynamics. particular attention will be paid to aspects related to nonlinear hyperbolic partial differential equations and their linearizations.",10.1007/s00220-019-03454-z,2012-09-10,2019-05-04,"['romeo brunetti', 'klaus fredenhagen', 'pedro lauridsen ribeiro']"
