,id,title,categories,authors
0,0705.1235,statistical minimax approach of the hausdorff moment problem,math.st stat.th,['thanh mai pham ngoc']
1,0707.0805,a new generalization of chebyshev inequality for random vectors,math.st cs.lg math.pr stat.ap stat.th,['xinjia chen']
2,0707.0861,data-driven efficient score tests for deconvolution problems,math.st stat.ap stat.th,['mikhail langovoy']
3,0707.0878,risk analysis in robust control -- making the case for probabilistic   robust control,math.oc cs.sy math.st stat.th,"['xinjia chen', 'jorge aravena', 'kemin zhou']"
4,0708.1874,point estimation with exponentially tilted empirical likelihood,math.st q-fin.st stat.th,['susanne m. schennach']
5,0710.5874,graphical models for marked point processes based on local independence,math.st stat.th,['vanessa didelez']
6,0711.2345,models for dependent extremes using stable mixtures,stat.me math.st stat.th,"['anne-laure fougères', 'john p. nolan', 'holger rootzén']"
7,0711.2801,inverse sampling for nonasymptotic sequential estimation of bounded   variable means,math.st cs.lg math.pr stat.th,['xinjia chen']
8,0801.2800,a preferential attachment model with poisson growth for scale-free   networks,stat.ap,"['paul sheridan', 'yuichi yagahara', 'hidetoshi shimodaira']"
9,0804.1143,sliced inverse moment regression using weighted chi-squared tests for   dimension reduction,stat.me math.st stat.th,"['zhishen ye', 'jie yang']"
10,0806.3474,information field theory for cosmological perturbation reconstruction   and non-linear signal analysis,astro-ph cs.it hep-th math.it physics.data-an stat.co,"['torsten a. ensslin', 'mona frommert', 'francisco s. kitaura']"
11,0807.0053,frequentist and bayesian measures of confidence via multiscale bootstrap   for testing three regions,stat.me math.st stat.th,['hidetoshi shimodaira']
12,0807.2245,nemirovski's inequalities revisited,math.st stat.th,"['lutz duembgen', 'sara van de geer', 'mark veraar', 'jon a. wellner']"
13,0807.4003,should the democrats move to the left on economic policy?,stat.ap,"['andrew gelman', 'cexun jeffrey cai']"
14,0808.3495,tail asymptotics for a random sign lindley recursion,math.pr math.st stat.th,"['maria vlasiou', 'zbigniew palmowski']"
15,0809.1241,a new framework of multistage estimation,math.st cs.lg math.pr stat.me stat.th,['xinjia chen']
16,0809.2650,on verifiable sufficient conditions for sparse signal recovery via   $\ell_1$ minimization,math.oc math.st stat.th,"['anatoli juditsky', 'arkadii s. nemirovski']"
17,0809.3170,a new framework of multistage hypothesis tests,math.st cs.lg math.pr stat.me stat.th,['xinjia chen']
18,0809.4560,boundary non-crossings of brownian pillow,math.pr math.st stat.th,['enkelejd hashorva']
19,0810.1547,conditional limit results for type i polar distributions,math.st stat.th,['enkelejd hashorva']
20,0810.4727,robust estimation of mean values,math.st cs.sy math.pr stat.co stat.th,['xinjia chen']
21,0810.5551,a theory of truncated inverse sampling,math.st cs.lg math.pr stat.me stat.th,['xinjia chen']
22,0810.5706,conditional limits of w_p scale mixture distributions,math.pr math.st stat.th,['enkelejd hashorva']
23,0811.0662,asymptotics for kotz type iii elliptical distributions,math.pr math.st stat.th,['enkelejd hashorva']
24,0811.2691,value-at-risk computation by fourier inversion with explicit error   bounds,stat.ap,"['johannes vitalis siven', 'jeffrey todd lins', 'anna szymkowiak-have']"
25,0811.3552,on the residual dependence index of elliptical distributions,math.pr math.st stat.th,['enkelejd hashorva']
26,0811.4167,penalized orthogonal-components regression for large p small n data,stat.me stat.ml,"['dabao zhang', 'yanzhu lin', 'min zhang']"
27,0812.0881,distribution and asymptotics under beta random scaling,math.pr math.st stat.th,"['enkelejd hashorva', 'anthony pakes']"
28,0812.2936,from schoenberg to pick-nevanlinna: toward a complete picture of the   variogram class,math.st math.pr stat.th,"['emilio porcu', 'rené l. schilling']"
29,0812.2987,hazard estimation under generalized censoring,math.st stat.th,"['alberto carabarin aguirre', 'b. gail ivanoff']"
30,0812.4105,asymptotics of the norm of elliptical random vectors,math.pr math.st stat.th,['enkelejd hashorva']
31,0901.4203,a mixture of experts model for rank data with applications in election   studies,stat.ap stat.co,"['isobel claire gormley', 'thomas brendan murphy']"
32,0903.0664,component-wise markov chain monte carlo: uniform and geometric   ergodicity under mixing and composition,stat.co stat.me,"['alicia a. johnson', 'galin l. jones', 'ronald c. neath']"
33,0904.0966,exact asymptotics of bivariate scale mixture distributions,math.pr math.st stat.th,['enkelejd hashorva']
34,0905.3959,characterization of discrete time scale invariant markov sequences,math.pr math.st stat.th,"['n. modarresi', 's. rezakhah']"
35,0906.4982,concept-based recommendations for internet advertisement,cs.ai cs.cy cs.ir stat.ml,"['dmitry i. ignatov', 'sergei o. kuznetsov']"
36,0907.0250,multivariate log-concave distributions as a nearly parametric model,math.pr math.st stat.th,"['dominic schuhmacher', 'andre huesler', 'lutz duembgen']"
37,0907.1020,convergence and convergence rate of stochastic gradient search in the   case of multiple and non-isolated extrema,math.oc math.st stat.th,['vladislav b. tadic']
38,0907.2337,sparsistent estimation of time-varying discrete markov random fields,stat.ml,"['mladen kolar', 'eric p. xing']"
39,0907.3503,intersection bounds: estimation and inference,math.st stat.th,"['victor chernozhukov', 'sokbae lee', 'adam m. rosen']"
